title,Bag_of_words
Papillon," nonfiction biography henricharrière henri charrière called papillon ,"" butterfly tattoo chest convicted paris 1931 murder commit sentenced life imprisonment penal colony french guiana became obsessed one goal escape planning executing series treacherous yet failed attempt many year eventually sent notorio"
From the Mixed-Up Files of Mrs. Basil E. Frankweiler, fiction childrens e.l.konigsburg suburban claudia kincaid decides run away know ’ want somewhere want — place comfortable beautiful preferably elegant chooses metropolitan museum art new york city knowing younger brother jamie money thus help serious cash flow problem inv
The Big Sleep, mystery fiction raymondchandler mean street man must go neither tarnished afraid .... hero everything complete common yet unusual code private eye defined raymond chandler 1944 essay simple act murder .' philip marlowe educated
Cosmos, science nonfiction carlsagan cosmos 13 heavily illustrated chapter corresponding episode television series book sagan explores 15 billion year cosmic evolution development science civilization trace origin knowledge scientific method mixing philosophy speculates future also
Twenty Thousand Leagues Under the Sea, classics sciencefiction julesverne anthonybonner (translator) jakobgunnarsson (translator) unidentified “ monster ” threatens international shipping french oceanographer pierre aronnax unflappable assistant conseil join expedition organized u navy hunt destroy menace month fruitless searching finally grapple quarry brash canadian harpooner ned land thrown ove
Tempted, youngadult paranormal p.c.cast kristincast … ’ think banishing immortal fallen high priestess saving stark life biting heath getting headache erik almost dying zoey redbird would catch break sadly house night school forecast training gang juggling three guy anything stress reliever especially
"I'd Tell You I Love You, But Then I'd Have to Kill You", youngadult romance allycarter cammie morgan student gallagher academy exceptional young woman fairly typical girl school — every taught advanced martial art pe latest chemical warfare science student received extra credit breaking cia code computer class might claim genius real
Odd Thomas, horror fiction deankoontz dead talk know try communicate short order cook small desert town serving reluctant confidant sometimes silent soul seek odd want justice occasionally otherworldly tip help prevent crime time ’ different stranger come pico mundo accompanied horde hyena like
The Magic Mountain, fiction classics thomasmann johne.woods (translator) dizzyingly rich novel idea mann us sanatorium swiss alp community devoted exclusively sickness microcosm europe year 1914 already exhibiting first symptom terminal irrationality magic mountain monumental work erudition irony sexual tension intellectual ferment book
Corelli's Mandolin, fiction historical louisdebernières captain corelli ’ mandolin set early day second world war benito mussolini invaded greece dr iannis practice medicine island cephalonia accompanied daughter pelagia imparts much healing art even italian invade life bad — first anyway officer command italian garrison
The Alienist, historical historicalfiction calebcarr alienist first published 1994 major phenomenon spending six month new york time bestseller list receiving critical acclaim selling million copy modern classic continues touchstone historical suspense fiction reader everywhere year 1896 city newspaper reporter john schuyler moore
Brainwalker, fantasy youngadult robynmundell stephanlacast one teen ’ incredible journey may blow father mind … fourteen year old bernard think outside box problem neither school ultra rational physicist appreciate unique idea reacts stressful situation mooning class suspension sends straight workplace frustra
